"section_number","section_title","core_files","expected_files","section_type","section_dependencies","ground_truth","template_instructions","transformed_output","reasoning"
"5.1.2","Placebo or Control","Synopsis","Investigators Brochure","","","Describe the control product (placebo or active comparator).

Product information can usually be obtained from the:
IB for an investigational drug or biologic
Package insert for a licensed or approved drug or biologic or device labeling for a licensed device
Proposed labeling and/or material safety data sheet (MSDS) for an investigational device
Final labeling for a marketed device.
This section should describe the placebo or comparator without going into too much detail about dosing/administration. Describe the composition of the placebo or comparator drug/components of the placebo or comparator device. Describe the formulation of the placebo or comparator drug (e.g., tablet for oral administration, lyophilized powder to be reconstituted with sterile water for injection, solution for IV administration), how much active substance is in the dosage unit (e.g., 5 mg of drug X) and what  the excipients are (if any). Information should be provided for each placebo or control drug under investigation in the study (active drug, placebo, co-administered treatments). 
Do not include information about supportive treatments, such as pre- and post-medication for transplants. For each placebo or comparator drug administered/placebo or comparator device used in the study, this section should also contain information on how it is supplied: what kind of container, how much of the placebo or comparator drug in each container.
Do not describe investigational product that is administered only in the non-control arm of the study. Do not describe dose modifications or dose adjustments for the comparator drug . Do not describe doses or dose regimens for the comparator drug. Do not discuss previous clinical trials. Do not call an active comparator a placebo. Do not describe the study design. Do not describe study drug(s) or device(s) other than the comparator drug/device","","",""
"5.2","Treatment Administered","Synopsis","Investigators Brochure","","3.1, 5.1.1, 5.1.2","Provide the following information:
The trial treatment(s) to be administered, including the trade and generic names(s) of all the product(s), as well as the name(s) of active and inactive ingredients.
The dose(s).
The route/mode(s) of administration (eg, oral, nasal, intramuscular).
The dosing schedule.
The treatment period(s), including the follow-up period(s) for subjects for each IP treatment/trial treatment group/arm of the trial.
The type of comparator(s) (eg, placebo, no treatment, active drug, dose-response) and study configuration (parallel, cross-over).
Who will be responsible for dispensing study drug(s) or device(s). How to prepare study drug(s) or device(s).

This section should contain the name of the study intervention(s) and instructions for administration of the study intervention(s) to the participant (e.g., oral administration, intramuscular injection into the deltoid region of the dominant arm, intravenous bolus, etc.). This section should include dose regimens (e.g., twice daily)/dosing intervals (e.g., every 12 hours) if there is more than one dose to be administered in the study, when the first dose is administered (generally Day 1), and for how long the treatment should be given (e.g., single dose, three 28-day cycles, etc.).
This section should contain information about the investigational product, dose, route of administration, dosage and mode of administration of each drug.
Do not describe storage of the study intervention(s). Do not describe the composition of the study intervention(s). Do not describe participant follow-up. Do not describe dose modifications or treatment continuation. Do not describe the class or mechanism of action of the study drug(s) or study device(s). Do not describe special precautions for handling study drug(s). Describe the preparation of the study drug(s). Do not describe supportive and rescue treatments. Do not describe missed or vomited doses of the study drug(s). Do not describe dose modifications of the study drug(s).","","",""
"5.3","Selection and Timing of Dose for Each Subject","Synopsis","Investigators Brochure","","3.1","Provide the following information:
Procedures for selecting each subjectâ€™s dose of test drug/IP and active control/comparator. These procedures can vary from simple random assignment to a selected fixed drug/dose regimen, to some specified titration procedure, to more elaborate response-determined selection procedures, eg, where dose is titrated upward at intervals until intolerance or some specified endpoint is achieved.
Procedures for back-titration, if any.
The timing (time of day, interval) of dosing and the relation of dosing to meals. If appropriate, state that there is no relationship to the timing of meals.
Any specific instructions to be given to subjects about when or how to take the dose(s).
Any requirements such as the need for previous fasting and the duration of this fasting. Also, specify if there is any particular meal restriction or meal composition that should or should not go with the treatment administration. It should also be considered if the patient needs to be in a specific position during the treatment administration.
Do not describe dose modifications or treatment regimen modifications for the study drug(s). Do not describe administration of the study drug(s). Describe when the start of treatment and the end of treatment are. Do not describe what to do in case of a missed dose. When describing pharmacokinetics of a study drug, clearly indicate which drug is being discussed. Do not describe treatment schedule and monitoring. Do not describe supportive or rescue treatments. Do not describe participant positioning during study drug administration. Do not describe handling instructions for the study drug(s). Do not describe any product information.","","",""
"5.4","Dose Escalation And Modification","Synopsis","Investigators Brochure","","3.1","If applicable, describe the dose escalation scheme (using exact dose, rather than percentages). State any minimum period required before a subjectâ€™s dose might be raised to the next higher dose or dose range. If applicable, the protocol should state the conditions under which a dose change will be made, particularly in regard to failure to respond or to toxic or untoward changes in stipulated indicators (eg, white blood cell count in cancer chemotherapy).
Address dose modifications for specific abnormal laboratory values of concern or other adverse events (AEs) that are known to be associated with the planned study intervention. The protocol must state explicitly the dose-limiting effects that are anticipated. Provide criteria that will be used to determine dose escalations. If a subject is responding positively to the intervention, the protocol should specify whether study intervention administration would progress to still higher doses. If appropriate, provide a dose de-escalation schema with intervention modifications. Do not restate reasons for withdrawal of subjects. Cross-reference relevant sections, as appropriate. Describe treatment delays or interruptions.
This section should not describe any information about treatment-emergent adverse events and how they will be assessed. This must include the criteria for any dose modification. Do not repeat the planned doses of study drug(s). Do not describe the schedule for administration of the study drug(s). If no dose modifications are planned for a specific study drug, clearly state that no dose modifications are planned. ","","",""
"5.5","Missed Dose","Synopsis","Investigators Brochure","","3.1, 5.1.1, 5.1.2","Include any specific instructions about how delayed or missed doses should be handled. Do not describe visit scheduling flexibility.","","",""
"5.6","Randomization and Blinding or Masking","Synopsis","Investigators Brochure","","3.1","This section should contain a description of randomization and blinding (or masking for vision studies) procedures (if applicable to the study design). It should include a description or a table that describes how study subjects will be assigned to study groups, without being so specific that blinding or randomization might be compromised (eg, the ratio between intervention and placebo groups may be stated). If adaptive randomization or other methods of covariate balancing/minimization are employed, include a cross link to the methods of analysis in Section 9, Planned Statistical Methods. In addition, details regarding the implementation of procedures to minimize bias should be included in this section. DO NOT include details that might compromise these strategies. Design techniques to avoid bias can be found in the ICH Guidance for Industry E9 Statistical Principles for Clinical Trials.
Plans for the maintenance of trial randomization codes and appropriate blinding for the study should be discussed. The timing and procedures for planned and unplanned breaking of randomization codes should be included. Include a statement regarding when unblinding may occur and who may unblind. Provide the criteria for breaking the study blind or subject code. Discuss the circumstances in which the blind would be broken for an individual or for all subjects (eg, for SAEs). Indicate to whom the intentional and unintentional breaking of the blind should be reported.
Sometimes blinding is attempted but is known to be imperfect because of obvious effects related to study intervention or control product in some subjects (eg, dry mouth, bradycardia, fever, injection site reactions, and changes in laboratory data). Such problems or potential problems should be identified and, if there are plans to assess the magnitude of the problem or manage it, these should be described (eg, having endpoint measurements carried out by study staff shielded from information that might reveal study group assignment).
Explain whether blinding is considered unnecessary to reduce bias for some or all of the observations; eg, use of a random-zero sphygmomanometer eliminates possible observer bias in reading blood pressure and Holter tapes are often read by automated systems that are presumably immune to observer bias.
Describe the reasons and implications if blinding is considered desirable but not feasible. Sometimes blinding is attempted even though it is known to be imperfect because of obvious drug effects in at least some subjects (eg, dry mouth, bradycardia, fever, injection site reactions, or changes in laboratory data). Identify such problems or potential problems and discuss whether there will be any attempts to assess the magnitude of the problem or to manage it (eg, by having some endpoint measurements carried out by people shielded from information that might reveal treatment assignment).
Specify the method of assigning participants to different treatment arms (e.g., assigned a treatment number in the order in which they are enrolled, an interactive response system, randomized in blocks, incomplete blocks, stratified by age group/sex/previous treatment received) and in what ratio they will be assigned to each group (e.g., 2:1 active drug:placebo). Any table here should include the planned number of participants per group, the ratio of active-treated vs. placebo-treated participants, and possibly the treatment kit numbers assigned to each group. 

The calculation of sample size should not be in this section.
Describe how the study is blinded (e.g., single- or double-blinded) if applicable, how the study drug and placebo are blinded (e.g., tablets with the same appearance, placebo over encapsulated to match the active drug's appearance, opaque syringes), and how the blind is maintained (e.g., sealed envelopes, interactive system). Specify which clinical study staff are unblinded and what the unblinded study team will be responsible for/involved in (e.g., the unblinded staff will have no participant contact).

In ophthalmological studies, use the term """"masked"""" instead of """"blinded.""""

Provide details about lifting the blind during the study, including the circumstances under which treatment assignment can be unblinded, who has the authority to unblind the study (usually just the investigator), and how the blind will be lifted.","","",""
"5.7","Concomitant Therapy","Synopsis","Investigators Brochure","","4.1, 4.2","Include content in this section if applicable, otherwise note as not applicable.
Insert the following text at the beginning of this section:
""For this protocol, a prescription medication is defined as a medication that can be prescribed only by a properly authorized/licensed clinician. Medications to be reported in the electronic case report form (eCRF) are concomitant prescription medications, over-the-counter medications, and supplements.""
In addition, provide the following information:
-Which medication(s)/treatment(s) will be permitted during the study (including rescue medication),
-Any other specific rules and procedures related to permitted or forbidden concomitant therapy, eg, whether specific concomitant medications would result in a subjectâ€™s discontinuation from the study.
-Identify and specify concomitant medications that may cause pharmacokinetic interactions, particularly those involving CYP isozymes and transporter proteins. If a specific enzyme or transporter plays a key role in the metabolism of the study drug(s), list activators and inhibitors of that enzyme or transporter as restricted or prohibited.
-Include a list of medication classes that could interfere with study assessments. For example, cognitive assessment studies may need to exclude drugs that impact cognition, while anticoagulants may need to be restricted in studies involving drugs with anticoagulant properties.
-Add any prohibited/permitted concomitant treatment information from the inclusion/exclusion criteria of the synopsis.
-Include any expressly prohibited/permitted concomitant surgeries from the inclusion/exclusion criteria of the synopsis.
-Include any expressly prohibited/permitted concomitant other medical procedures from the inclusion/exclusion criteria of the synopsis.
Do not describe the study drug(s). Do not describe prior therapy, treatment, or medications. Do not describe dosage modifications and delays for the study drug(s). Describe supportive and rescue treatments. Do not describe treatment interruptions. Do not describe any procedures that are prohibited before study drug administration. Do not discuss exclusion criteria that do not mention a prohibited concomitant drug or prohibited concomitant other medical procedure.","","",""
"5.8","Restrictions","Synopsis","Investigators Brochure","","3.1, 4.2","Include content in this section if applicable, otherwise note as not applicable.
Describe any restrictions during any parts of the study pertaining to lifestyle and/or diet (eg, food and drink restrictions, timing of meals relative to dosing, intake of caffeine, alcohol, or tobacco, or limits on activity), and considerations for household contacts. Describe what action will be taken if prohibited medications, treatments or procedures are indicated for care (eg, early withdrawal). Information on the restrictions in place during the study may be found in the inclusion/exclusion criteria (Sections 4.1 and 4.2). More infrequently, some restrictions may apply during certain efficacy or safety assessments (Section 6.3 and 6.4)
Describe if these restrictions (pertaining to lifestyle and/or diet (eg, food and drink restrictions, heavy exertion/strenuous, timing of meals relative to dosing, intake of caffeine, alcohol, or tobacco, or limits on activity), and considerations for household contacts) apply during all the protocol or for a certain period of time. If applicable, state quantities that are allowed or prohibited. Define measures to take if a participant breaks a restriction or takes a prohibited medication, such as withdrawal from the study, discontinuation of further sample collection, cessation of further study drug administration, or other measures as determined by the Sponsor.
For considerations for household contacts, include content only if participants are being administered an infectious agent. Specify measures to prevent contagion to household members, including precautions around immunocompromised individuals or unvaccinated infants.","","",""
"5.8.1","Prior Therapy","Synopsis","Investigators Brochure","","4.1, 4.2, 6.3, 6.4","Include content in this section if applicable, otherwise note as not applicable.
Describe prior therapy subjects may have undergone or were not allowed to have prior to enrollment in the study. Do not describe any treatments that are prohibited or permitted after study drug administration.
If applicable, state that medications mentioned in the inclusion/exclusion criteria are restricted as outlined in those criteria. List any other prohibited medications or treatments not mentioned in the inclusion/exclusion criteria, specifying the time period for which they are prohibited (e.g., active vaccines are prohibited within 14 days before Day 1). Do not describe documentation of anything other than prior treatments. Describe any restrictions on surgery prior to the study drug administration. Describe any restrictions on other medical procedures prior to study drug administration. Do not describe treatment-specific considerations for the study drug(s). Describe all restrictions on prior therapy and prohibited prior therapy together, including prior therapies excluded by the exclusion criteria. Do not describe prior medical conditions. Do not describe timing of study drug(s) administration.","","",""
"5.8.2","Fluid and Food Intake","Synopsis","Investigators Brochure","","4.2, 5.3, 6.3, 6.4","Specify any requirements or restrictions for fasting or for fluid and food intake during the study with respect to the study drug(s) and to the study procedure(s). Information on food and drink restrictions in place during the study may be found in the inclusion/exclusion criteria (Sections 4.1 and 4.2) and the conditions surrounding study drug administration (Section 5.3). More infrequently, some restrictions may apply during certain efficacy or safety assessments (Section 6.3 and 6.4).
Do not describe participant follow-up. Do not describe requirements other than those for fluid and food intake. Do not describe supportive medications. Do not describe monitoring of fluid and food intake. Do not describe instructions related to vomiting after study drug administration. Do not describe missed doses of study drug(s). Do not provide instructions on how to take the study drug(s). Do not describe the overall timing of administration of study drug(s). If there are no restrictions on fluid or food intake in the inclusion or exclusion criteria, do not repeat this fact.","","",""
"5.8.3","Subject Activity Restrictions","Synopsis","Investigators Brochure","","4.2, 5.3, 6.3, 6.4","Specify any requirements or restrictions for subject physical activities (such as staying in a supine position for a period of time after study drug(s) administration, avoiding direct exposure to sunlight) or confinement during the study. Information on physical activity restrictions in place during the study may be found in the inclusion/exclusion criteria (Sections 4.1 and 4.2) and the conditions surrounding study drug administration (Section 5.3). More infrequently, some restrictions may apply during certain efficacy or safety assessments (Section 6.3 and 6.4). Do not describe the efficacy or safety assessments themselves.
Do not describe reproductive restrictions. Do not describe medication and treatment restrictions. Do not describe surgical restrictions. Do not describe treatment administration timing. Do not describe monitoring of restrictions. Do not describe treatment delays or interruptions. Do not describe fluid or food restrictions. Do not describe how the participant should or should not handle the study drug(s). Describe participant positioning for study drug administration. Do not describe participant positioning for study procedure(s) including adverse reaction assessments. Do not describe the focus of the protocol. Do not describe potential adverse reactions to study drug(s).","","",""
"5.9","Treatment Compliance","Synopsis","Investigators Brochure","","3.1","Describe how compliance with study treatments will be assessed. Do not describe compliance with any other aspects of the protocol. Include a description of what documents are mandatory to complete (eg, subject drug log) and what source documents/records will be used to calculate study intervention compliance.
Describe the measures that will be taken to ensure and document compliance with study dosing regimen, eg, drug accountability, diary cards, any assays.
Describe measures for monitoring treatment compliance. For a single-dose trial, state that the participants were administered the drug under the supervision of the investigator/other qualified clinical staff. Mention the route of administration only when describing how the staff is going to check that the full dose is administered (e.g., after IV bolus administration, qualified clinical staff will check the syringe for any residual drug product and if the full dose was not administered, this will be noted in the CRF). If study drug(s) will be taken at home, describe how compliance will be assessed. 
Do not include any details about frequency or duration of administration of the study drug(s). Do not describe timing of administration of the study drug(s). Do not describe doses of the study drug(s). Do not describe how the study drug(s) will be administered. Do not describe the follow-up schedule. Describe how the treatment compliance will be recorded in the eCRF. Do not describe protocol adherence. Do not describe DSMB or other committee meetings. Do not describe treatment delays. Do not discuss missed doses. Do not describe visit windows. Do not discuss the schedule of assessments or the scheduled visits. Do not discuss inclusion criteria. Do not discuss if the study drug(s) should be taken with food or not. Do not discuss if the study drugs should be crushed, split, or chewed. 
Do not describe any assessments not specified as being compliance measures in the synopsis. Do not describe assessments of efficacy or effectiveness. Do not describe precautions for handling of study drug(s). Do not discuss supportive treatments. Do not describe TEAE reporting. Do not describe SAE reporting. Do not discuss efficacy endpoints or assessments. Do not discuss safety endpoints or assessments. Do not discuss dose adjustments. Do not discuss treatment discontinuation. Only provide information about compliance with the study drug(s). ","","",""
"5.1","Packaging and Labeling","Synopsis","Investigators Brochure","","","Provide details of the packaging (such as vials, bottles, or blister packs). Provide the quantity of study drug(s) per package. Provide the text of the label(s) of the study drug(s).
For studies that are blinded, describe how any comparator(s) will be made to look like the study drug(s).
Describe how the label will be attached to the study drug(s) and comparator(s) and whether the label will be removed from the source for attachment to the CRF.
Do not describe storage of the study drug(s). Do not describe preparation of the study drug(s). Do not describe the treatment regimen. Do not repeat the blinding considerations from Section 5.6. Do not describe the dosage form(s) of the study drug(s). ","","",""
"5.11","Storage and Accountability","Synopsis","","Heading","","","","",""
"5.11.1","Storage","Synopsis","Investigators Brochure","","","Example text provided as a guide, customize as needed:
[Drug supplies must be stored in a secure, limited-access location under the storage conditions specified on the label: <insert storage conditions from IB if available>. Refer to the Pharmacy Manual for additional guidance on study drug storage.]
Describe storage conditions for all study drug(s) that are administered in this study according to the synopsis. Do not describe handling precautions for the study drug(s). Do not describe what the study drug(s) are.
","","",""
"5.11.2","Accountability","Synopsis","Investigators Brochure","","","Example text provided as a guide, customize as needed:
[The Investigator or his/her designee will maintain accurate records of the receipt of all study drugs. In addition, accurate records will be kept regarding when and how much of each study drug is dispensed, used and unused by each study subject. Study center personnel should not dispose of any used or unused study drug until drug accountability is performed by the Sponsor or its designee. At the conclusion of the study, any unused study drug will be returned to the Sponsor or destroyed by the site pursuant to written authorization by the Sponsor and applicable federal and state regulations.]","","",""
"5.11.3","Dispensing Study Drug","Synopsis","Investigators Brochure","","5.2","Insert the following text with no changes at the beginning of this section:
""Instructions for preparation of the study drug are provided in Section 5.2.""
Qualified clinical staff at each study site will be responsible for receiving, preparing, dispensing, and maintaining accurate records of study drug administration. These designated personnel should be trained on the specific handling requirements for all study drugs. Qualified clinical staff at each study site will be responsible for documenting drug accountability, including receipt, dispensation, return, and destruction of unused study medication, in compliance with Good Clinical Practice (GCP) guidelines and applicable regulatory requirements.""

Describe the procedures to be followed for dispensing the study drug. Describe the instructions for safe handling and safe disposal, when applicable.
Do not describe storage conditions for the study drug(s). Do not discuss administration procedures or schedules of the study drug(s). Do not describe dosage of the study drug(s). Do not describe supportive treatments. Do not describe treatment regimen(s). Do not describe duration of treatment.","","",""
"5.11.4","Investigational Product Retention at Study Site","Synopsis","Guidelines","","3.1","Insert the following text with no changes:
""If applicable, adequate supplies of the study drug(s) will be kept in order to comply with the retention and testing requirements in the FDA Guidance for Industry: Handling and Retention of Bioavailability BA and Bioequivalence BE Testing Samples (2024).""

Do not add any other text. Do not describe the study drug(s). Do not describe the treatment regimen(s). Do not describe the study drug(s) administration. Describe retention requirements for all study drug(s) administered in the study. 
","","",""
"6","STUDY PROCEDURES","Synopsis","","Heading","","","","",""
"6.1","Informed Consent","Synopsis","","","","Insert the following text without any changes:
""Informed consent is a process that is initiated prior to the individualâ€™s agreeing to participate in the study and continues throughout the individualâ€™s study participation. Consent forms will be IRB/IEC-approved and the subject will be asked to read and review the document. The Investigator will explain the research study to the subject and answer any questions that may arise. A verbal explanation will be provided in terms suited to the subjectâ€™s comprehension of the purposes, procedures, and potential risks of the study and of their rights as research participants. Subjects will have the opportunity to carefully review the written consent form and ask questions prior to signing. The subjects should have the opportunity to discuss the study with their family or surrogates or think about it prior to agreeing to participate. The subject will sign the informed consent document prior to any procedures being done specifically for the study. Subjects must be informed that participation is voluntary and that they may withdraw from the study at any time, without prejudice. A copy of the informed consent document will be given to the subjects for their records. The informed consent process will be conducted and documented in the source document (including the date), and the form signed, before the subject undergoes any study-specific procedures. The rights and welfare of the subjects will be protected by emphasizing to them that the quality of their medical care will not be adversely affected if they decline to participate in this study.""
","","",""
"6.2","Screening and Baseline Assessments","Synopsis","","","3.1, 4.1, 4.2","Describe the procedures or assessments to be done at Screening and Baseline as applicable to the study. This includes assessments used to evaluate participant eligibility (some of the criteria in Section 4.1 and Section 4.2 will inform which assessments are needed for ascertaining eligibility, e.g., diagnostic tests for a disease, labs, vital signs, ECG, performance status). Add subsections after 6.2.1 Medical History for each subtype of screening/baseline assessment, e.g., Demographics, Disease Characteristics, etc. and describe the assessments (e.g., demographic parameters, imaging or other diagnostic techniques)
Do not describe contraception requirements. Do not discuss the exclusion criteria. Do not describe assessments that will take place during the treatment phase. Do not describe efficacy measurements that will take place after screening and baseline assessments.","","",""
"6.2.1","Medical History","Synopsis","","","3.1","If medical history has already been described in Section 6.2, leave this section blank.
If medical history has not been described in Section 6.2, use the following instructions.
Provide the following information:
The means for collecting and recording medical history information,
The type of information to be collected and any timeframe for the history relative to study screening or startup, if applicable,
A list of medications/treatments that will be permitted or must be discontinued within a certain time period before randomization or the start of study therapy,
Whether and how prior/ongoing therapies will be recorded, and
Any other specific rules and procedures related to permitted or forbidden prior/ongoing therapy.
Note: In most instances, prior therapies (taken before randomization or start of study therapy) should be differentiated from concomitant therapies (taken after start of study therapy) to facilitate understanding of any AEs that occur after the start of study therapy.
Do not discuss assessments that are not medical history and medication history. Do not describe treatment regimen(s). Do not describe permitted or prohibited medications, drugs, or treatments. Do not describe prohibited or permitted procedures.","","",""
"6.3","Efficacy Assessments","Synopsis","","","3.1","Describe the assessments for which efficacy endpoints will be calculated. Define the efficacy endpoints. Separate the assessments under subheadings as necessary. Do not describe follow-up. Do not describe statistical analyses. Do not describe timing of statistical analyses. Do not describe quality of life or healthcare utilization assessments. Do not describe the time points for collecting efficacy endpoints. Do not describe visit windows.","","",""
"6.4","Safety Assessments","Synopsis","","","3.1","Summarize the planned safety assessments briefly without going into details. Do not describe immunological assessments. Do not describe efficacy assessments. Do not describe screening assessments. Do not describe baseline assessments. Do not describe efficacy assessments. Do not describe disease status assessments. Mention all safety assessments that will be performed measured but do not list vital signs parameters, do not list laboratory parameters, do not list physical examination parameters. Do not describe statistical analyses. Do not describe visit windows. Do not describe quality of life assessments.","","",""
"6.4.1","Physical Examination","Synopsis","","","3.1","Provide the following information:
-The person(s) responsible for performing a physical examination of the subject: the Investigator or medically qualified designee.
-Whether the examination should be a complete or targeted physical examination; whether additional examinations (eg, motor assessment, visual assessment, other functional abilities) will be performed
-Whether the examination will include height, weight, body mass index, etc.
If additional examinations (eg, motor, visual, other) are planned, briefly describe these examinations.
Do not describe vital signs assessments. Do not describe laboratory assessments. Do not describe electrocardiogram assessments. List the body systems that will be included in the physical examination: general appearance; eyes, ears, nose and throat, head and neck; chest and lungs; cardiovascular; abdomen; musculoskeletal; lymphatic; dermatologic; neurologic and extremities. Do not describe the purpose of each part of the physical examination.
","","",""
"6.4.2","Vital Signs","Synopsis","","","3.1","Provide the following information:
-Qualified clinical site personnel will measure the subject's vital signs.
-Which assessments will be performed to monitor vital signs, ie, systolic blood pressure, diastolic blood pressure, heart rate, respiratory rate, temperature, and/or oxygen saturation, and
-The method for consistent monitoring of vital signs, including:
-The blood pressure should be measured using the same arm and/or the same equipment each time, and/or
-Any mechanical devices that will be used to monitor vital signs, and whether and how they are calibrated for consistency across sites.

If orthostatic assessments are included in the synopsis, the protocol should include a definition of orthostatic hypotension (SBP and DBP criteria) and abnormal HR increase. If the synopsis does not indicate that orthostatic vital signs will be measured, do not mention orthostatic vital signs. 

The subject will have to rest in a supine position for at least 5 minutes before each vital signs measurement.
Insert the following text at the end of the section: ""After study drug administration, if any results falling outside the normal ranges are deemed clinically significant by the Investigator or appropriately qualified designee, they will be recorded as an AE/SAE.""

Do not describe safety monitoring by the DSMB or other committee. Do not describe exclusion or inclusion criteria. Do not describe visit windows. Do not describe screening or baseline assessments. Do not describe AE or SAE reporting methods or timing.","","",""
"6.4.3","Electrocardiography and Continuous Telemetry Monitoring","Synopsis","","Heading","","","","",""
"6.4.3.1","12 Lead Electrocardiograms","Synopsis","","","3.1","Specify if the electrocardiogram (ECG) is for screening purposes only. Include any specific instructions for the collection and interpretation of the ECG (eg, time points relative to dosing with study intervention or other evaluations, whether the ECG will be single recordings or triplicate recodrings). If ECGs will be analyzed at a central laboratory, instructions for the collection (eg, equipment), transmission and archiving of the ECG data should be summarized. If the ECG will be read locally, indicate how these will be handled and in what format (eg, digital or paper), as well as instructions with respect to local review. List the ECG parameters to be assessed, and, if QTc is being calculated, state which formula (usually Bazett's - QTcB -  or Fridericia's - QTcF) will be used to calculate QTc. 

Insert the following text at the end of the section: ""The ECGs will be assessed by the Investigator or qualified designee. After study drug administration, any results falling outside the normal ranges and deemed clinically significant by the Investigator or appropriately qualified designee will be recorded in the eCRF as an AE/SAE."" If no ECGs will be performed after study drug administration, do not discuss TEAEs, AEs, or SAEs.
Do not describe safety monitoring by the DSMB or other committee. Do not describe exclusion or inclusion criteria. Do not discuss eligibility requirements. Do not describe visit windows. Do not describe the specific visits at which ECGs will be performed, instead refer to the Assessment Schedule.","","",""
"6.4.3.2","Continuous Holter Monitoring","Synopsis","","","3.1","If the synopsis mentions continuous ECG monitoring (Holter), include any specific instructions for the collection and interpretation of the continuous ECG (Include any specific instructions for the collection and interpretation of the ECG (eg, time points relative to dosing with study intervention or other evaluations, duration of continuous recording).  If continuous ECGs will be analyzed at a central laboratory, instructions for the collection (eg, equipment), transmission and archiving of the ECG data should be summarized. If the ECG will be read locally, indicate how these will be handled and in what format (eg, digital or paper), as well as instructions with respect to local review. List the ECG parameters to be assessed, and, if QTc is being calculated, state which formula (usually Bazett's - QTcB -  or Fridericia's - QTcF) will be used to calculate QTc.
End the section with the sentence: ""After study drug administration, any results falling outside the normal ranges and deemed clinically significant by the Investigator or appropriately qualified designee will be recorded in the eCRF as an AE/SAE.""
If the protocol does not include continuous ECG recording, insert only the following text: ""Not applicable.""","","",""
"6.4.4","Clinical Laboratory Tests","Synopsis","","Heading","","","","",""
"6.4.4.1","Laboratory Parameters","Synopsis","","","3.1","Example text provided as a guide, customize as needed:
[Subjects will be in a seated or supine position during blood collection. Clinical laboratory tests will include the following parameters listed in Table 1. Additional samples may be collected at the Investigatorâ€™s discretion. Only abnormal laboratory values and diagnostic findings considered to be clinically significant by the Investigator will be reported as an AE/SAE.] 
In addition,  include estimated volume (if available) and type of specimens (eg, blood, urine) needed for each test. Specify laboratory methods to provide for appropriate longitudinal and cross-sectional comparison (eg, use of consistent laboratory method throughout study, use of single, central laboratory for multi-site studies). If more than one laboratory will be used, specify which evaluations will be done by each laboratory. In addition, compliance with Clinical Laboratory Improvement Amendments (CLIA) of 1988 should be addressed if applicable. In addition, if any laboratory tests (eg, diagnostics) that will be used are being developed concurrently, this should be specified. Describe:
-The type of clinical laboratory tests to be performed at any time during the study. This information can be presented concisely in a tabular format.
-Whether any laboratory parameters will be defined by the Sponsor as â€œclinically significant,â€ based on a predetermined range of laboratory values which will also be provided in this section.
-The conditions under which laboratory testing will occur, eg, timing in relation to meals and study dosing and frequency.
Then insert the table below, including only the parameters that will be measured in the present study.
[Table X 	Clinical Laboratory Parameters

Measurement                             Tests to be Performed

Hematology                              Hematocrit (Hct)
                                        Hemoglobin (Hgb)
                                        Mean corpuscular hemoglobin (MCH)
                                        Mean corpuscular hemoglobin concentration (MCHC)
                                        Mean corpuscular volume (MCV)
                                        Platelet count
                                        Red blood cell (RBC) count
                                        White blood cell (WBC) count with differential
Urinalysis                              Appearance
                                        Bilirubin
                                        Color
                                        Glucose
                                        Ketones
                                        Microscopic examination of sediment
                                        Nitrite
                                        Occult blood
                                        pH
                                        Protein
                                        Specific gravity
                                        Urobilinogen
                                        24-hour urine for creatinine clearance
                                        Urine human chorionic gonadotropin (hCG) (only for females who are not diagnosed as postmenopausal)
Serum Chemistry                         Albumin (ALB)
                                        Alkaline phosphatase (ALK-P)
                                        Alanine aminotransferase (ALT)
                                        Aspartate aminotransferase (AST)
                                        Blood urea nitrogen (BUN)
                                        Calcium (Ca)
                                        Carbon dioxide (CO2)
                                        Chloride (Cl)
                                        Creatinine
                                        Creatine kinase and subtypes
                                        Gamma-glutamyl transferase (GGT)
                                        Globulin
                                        Glucose
                                        Lactate dehydrogenase (LDH)
                                        Phosphorus
                                        Potassium (K)
                                        Sodium (Na)
                                        Total bilirubin
                                        Direct bilirubin
                                        Total cholesterol
                                        Total protein
                                        Triglycerides
                                        Troponins
                                        Uric acid
Virus Testing                           HBsAg, HCV, and HIV
Coagulation                             Prothrombin time (PT)
                                        Activated partial thromboplastin time (aPTT)

Abbreviations: <define abbreviations in table>]  
This section SHOULD focus on safety laboratory testing. It should not describe pharmacokinetic testing nor  biomarker testing. You should ALSO add a list of  parameters for safety laboratories.  If there is no safety laboratory testing in the study, you SHOULD state it here.  If the information is available, you should ALSO specify whether samples will be analyzed by a local or a central  laboratory. Do not describe immunological measurements. Do not describe efficacy measurements. Do not describe response criteria. Do not describe disease assessments. Do not describe visit windows. Do not describe DSMB or other committee review.","","",""
"6.4.4.2","Sample Collection, Storage, and Shipping","Synopsis","","","6.4.4.1","Special instructions for the preparation, handling, storage, and shipment of specimens should be briefly explained in this section.
Provide the following information:
The person(s) responsible for collecting laboratory samples,
The name and address of the laboratory that will process the samples, and
Any special sample handling, labeling, or shipping procedures required.
Special instructions for the preparation, handling, storage, and shipment of specimens should be briefly explained in this section with detailed discussion in the studyâ€™s MOP.
Provide the following information:
The person(s) responsible for collecting laboratory samples,
The name and address of the laboratory that will process the samples, and
Any special sample handling, labeling, or shipping procedures required.
This section should address ONLY the collection, storage, and shipping of safety laboratory samples. Handling of PK and biomarker/PD/efficacy samples should be in the respective sections for PK and biomarker/PD/efficacy assessments.
Do not describe storage of the study drug(s). Do not list the laboratory parameters. ","","",""
